Frame,Visibility,X,Y,Time
0,1,595,403,00:00:00.0
1,1,596,386,00:00:00.03333333333333333
2,1,596,367,00:00:00.06666666666666667
3,1,596,351,00:00:00.1
4,1,596,337,00:00:00.13333333333333333
5,1,595,323,00:00:00.16666666666666666
6,1,593,311,00:00:00.2
7,1,592,301,00:00:00.23333333333333334
8,1,591,292,00:00:00.26666666666666666
9,1,591,283,00:00:00.3
10,1,591,277,00:00:00.3333333333333333
11,1,590,272,00:00:00.36666666666666664
12,1,590,267,00:00:00.4
13,1,590,265,00:00:00.43333333333333335
14,1,590,425,00:00:00.4666666666666667
15,1,587,263,00:00:00.5
16,1,587,263,00:00:00.5333333333333333
17,1,586,265,00:00:00.5666666666666667
18,1,586,268,00:00:00.6
19,1,586,272,00:00:00.6333333333333333
20,1,586,278,00:00:00.6666666666666666
21,1,585,286,00:00:00.7
22,1,578,358,00:00:00.7333333333333333
23,1,582,301,00:00:00.7666666666666666
24,1,631,276,00:00:00.8
25,1,618,378,00:00:00.8333333333333334
26,1,686,248,00:00:00.8666666666666667
27,1,703,241,00:00:00.9
28,1,720,233,00:00:00.9333333333333333
29,1,733,230,00:00:00.9666666666666667
30,1,781,130,00:00:01.0
31,1,755,223,00:00:01.0333333333333332
32,1,762,223,00:00:01.0666666666666667
33,1,772,207,00:00:01.1
34,1,775,190,00:00:01.1333333333333333
35,1,780,171,00:00:01.1666666666666667
36,0,0,0,00:00:01.2
37,1,591,493,00:00:01.2333333333333334
38,1,585,495,00:00:01.2666666666666666
39,0,0,0,00:00:01.3
40,0,0,0,00:00:01.3333333333333333
41,1,776,128,00:00:01.3666666666666667
42,0,0,0,00:00:01.4
43,1,588,451,00:00:01.4333333333333333
44,1,566,443,00:00:01.4666666666666666
45,1,566,445,00:00:01.5
46,1,561,447,00:00:01.5333333333333332
47,0,0,0,00:00:01.5666666666666667
48,0,0,0,00:00:01.6
49,0,0,0,00:00:01.6333333333333333
50,0,0,0,00:00:01.6666666666666667
51,1,705,167,00:00:01.7
52,1,697,175,00:00:01.7333333333333334
53,1,691,183,00:00:01.7666666666666666
54,1,683,191,00:00:01.8
55,1,675,202,00:00:01.8333333333333333
56,1,668,213,00:00:01.8666666666666667
57,1,661,223,00:00:01.9
58,1,652,236,00:00:01.9333333333333333
59,1,643,248,00:00:01.9666666666666666
60,1,635,266,00:00:02.0
61,1,626,280,00:00:02.033333333333333
62,1,618,296,00:00:02.0666666666666664
63,1,608,313,00:00:02.1
64,1,601,332,00:00:02.1333333333333333
65,1,592,352,00:00:02.1666666666666665
66,1,583,373,00:00:02.2
67,1,573,395,00:00:02.2333333333333334
68,1,563,417,00:00:02.2666666666666666
69,1,556,428,00:00:02.3
70,1,550,428,00:00:02.3333333333333335
71,1,543,428,00:00:02.3666666666666667
72,1,536,430,00:00:02.4
73,1,531,431,00:00:02.433333333333333
74,1,525,435,00:00:02.466666666666667
75,1,516,441,00:00:02.5
76,1,511,446,00:00:02.533333333333333
77,1,503,453,00:00:02.5666666666666664
78,1,498,461,00:00:02.6
79,1,445,432,00:00:02.6333333333333333
80,1,498,387,00:00:02.6666666666666665
81,1,498,342,00:00:02.7
82,1,500,311,00:00:02.7333333333333334
83,1,501,281,00:00:02.7666666666666666
84,1,370,432,00:00:02.8
85,1,371,443,00:00:02.8333333333333335
86,1,371,447,00:00:02.8666666666666667
87,1,501,208,00:00:02.9
88,1,501,200,00:00:02.933333333333333
89,1,498,185,00:00:02.966666666666667
90,1,498,181,00:00:03.0
91,1,498,181,00:00:03.033333333333333
92,1,497,180,00:00:03.0666666666666664
93,1,496,177,00:00:03.1
94,1,496,177,00:00:03.1333333333333333
95,1,496,178,00:00:03.1666666666666665
96,1,493,181,00:00:03.2
97,1,493,176,00:00:03.2333333333333334
98,1,460,477,00:00:03.2666666666666666
99,1,492,143,00:00:03.3
100,1,491,133,00:00:03.3333333333333335
101,1,491,128,00:00:03.3666666666666667
102,1,492,117,00:00:03.4
103,1,492,116,00:00:03.433333333333333
104,0,0,0,00:00:03.466666666666667
105,1,511,461,00:00:03.5
106,1,517,458,00:00:03.533333333333333
107,1,525,455,00:00:03.5666666666666664
